resource_type_condition_key_id,resource_type_id,condition_key_id
1,3,283
2,4,283
3,6,283
4,7,283
5,17,192
6,17,193
7,17,194
8,17,283
9,18,196
10,18,197
11,18,283
12,18,195
13,19,198
14,19,199
15,19,200
16,19,283
17,20,201
18,20,214
19,20,283
20,20,216
21,21,283
22,22,283
23,23,283
24,24,283
25,25,283
26,26,283
27,27,283
28,35,283
29,36,283
30,37,283
31,38,283
32,39,283
33,40,283
34,42,283
35,43,283
36,44,283
37,45,283
38,46,283
39,48,283
40,49,283
41,50,283
42,51,283
43,52,283
44,53,283
45,54,283
46,57,283
47,63,283
48,64,283
49,65,283
50,66,283
51,67,283
52,68,283
53,69,283
54,70,283
55,71,283
56,72,283
57,73,283
58,81,283
59,82,283
60,83,283
61,84,283
62,85,283
63,86,283
64,87,283
65,88,283
66,89,283
67,90,283
68,91,283
69,92,283
70,93,283
71,94,283
72,95,283
73,96,283
74,97,283
75,99,283
76,100,283
77,101,283
78,102,283
79,104,283
80,105,283
81,106,283
82,107,283
83,108,283
84,108,284
85,108,280
86,109,283
87,109,284
88,109,280
89,110,283
90,111,283
91,113,283
92,114,283
93,115,283
94,116,283
95,117,283
96,118,283
97,119,283
98,120,283
99,121,283
100,122,283
101,123,283
102,124,283
103,125,283
104,126,283
105,127,283
106,128,283
107,129,283
108,130,283
109,131,283
110,136,283
111,137,283
112,139,283
113,142,283
114,143,283
115,146,283
116,147,283
117,148,283
118,149,283
119,154,283
120,155,283
121,156,283
122,157,283
123,158,283
124,159,283
125,160,451
126,161,283
127,162,283
128,163,283
129,164,283
130,165,283
131,166,283
132,167,283
133,168,283
134,169,283
135,170,283
136,172,283
137,177,283
138,179,283
139,180,283
140,181,283
141,182,283
142,183,283
143,185,536
144,186,283
145,188,283
146,193,283
147,194,283
148,195,283
149,196,283
150,197,283
151,198,283
152,199,283
153,200,283
154,201,283
155,201,553
156,202,283
157,202,555
158,203,283
159,203,554
160,204,283
161,204,560
162,205,283
163,205,561
164,206,283
165,206,575
166,207,283
167,207,576
168,208,283
169,208,578
170,209,283
171,209,577
172,210,283
173,210,588
174,211,283
175,211,589
176,212,283
177,212,552
178,213,283
179,213,573
180,214,542
181,215,283
182,215,542
183,216,283
184,216,542
185,216,543
186,217,542
187,217,547
188,217,544
189,218,283
190,221,283
191,221,542
192,221,547
193,222,542
194,222,543
195,223,283
196,224,283
197,229,283
198,230,283
199,231,283
200,232,283
201,233,283
202,235,283
203,236,283
204,237,283
205,244,283
206,245,283
207,246,283
208,247,283
209,248,283
210,249,283
211,250,283
212,251,283
213,252,283
214,253,283
215,255,283
216,256,283
217,257,283
218,259,283
219,260,283
220,261,283
221,262,283
222,262,350
223,263,283
224,263,350
225,264,283
226,264,350
227,267,283
228,268,283
229,268,591
230,269,283
231,270,283
232,271,283
233,272,283
234,273,283
235,273,363
236,274,283
237,274,363
238,275,283
239,275,363
240,276,283
241,276,363
242,277,283
243,277,363
244,278,283
245,278,363
246,279,283
247,279,363
248,280,283
249,280,363
250,281,283
251,281,363
252,290,283
253,291,283
254,292,283
255,293,283
256,295,283
257,296,283
258,298,283
259,299,283
260,300,283
261,302,283
262,303,283
263,304,283
264,305,283
265,306,283
266,307,283
267,308,283
268,309,283
269,310,283
270,311,283
271,312,283
272,313,283
273,314,283
274,315,283
275,316,283
276,317,283
277,318,283
278,319,283
279,320,283
280,323,283
281,325,283
282,327,283
283,328,283
284,329,283
285,331,283
286,332,283
287,333,283
288,334,283
289,335,283
290,336,283
291,337,283
292,338,283
293,339,283
294,340,283
295,342,283
296,343,283
297,344,283
298,345,283
299,346,283
300,347,283
301,348,283
302,349,283
303,354,283
304,356,283
305,357,283
306,358,283
307,359,283
308,360,283
309,361,283
310,362,283
311,363,283
312,364,283
313,365,283
314,366,283
315,367,283
316,368,283
317,370,283
318,371,283
319,372,283
320,373,283
321,374,283
322,375,283
323,376,283
324,376,406
325,376,407
326,377,283
327,377,408
328,378,283
329,378,409
330,379,283
331,379,410
332,380,411
333,381,283
334,381,412
335,382,413
336,383,405
337,385,283
338,386,283
339,387,283
340,388,159
341,389,160
342,390,161
343,391,283
344,392,283
345,393,283
346,394,283
347,395,283
348,396,283
349,399,162
350,400,169
351,401,283
352,402,283
353,404,283
354,406,283
355,407,283
356,407,896
357,408,283
358,439,283
359,440,283
360,441,283
361,442,283
362,443,283
363,443,451
364,444,283
365,445,283
366,447,283
367,447,451
368,448,283
369,449,283
370,450,283
371,451,283
372,454,283
373,455,283
374,456,283
375,457,283
376,459,283
377,460,283
378,461,283
379,462,283
380,465,283
381,466,283
382,467,283
383,469,283
384,470,283
385,471,283
386,472,283
387,473,283
388,474,283
389,475,283
390,476,283
391,477,283
392,479,283
393,480,283
394,481,283
395,482,283
396,483,283
397,484,283
398,485,283
399,486,284
400,486,488
401,486,280
402,487,284
403,487,488
404,487,280
405,488,284
406,488,488
407,488,280
408,489,284
409,489,488
410,489,280
411,490,283
412,491,283
413,492,283
414,493,283
415,494,283
416,495,283
417,496,283
418,497,283
419,498,283
420,499,283
421,500,283
422,501,283
423,505,283
424,506,283
425,508,283
426,510,283
427,512,283
428,514,283
429,516,283
430,518,283
431,520,283
432,525,283
433,526,283
434,527,283
435,528,283
436,530,283
437,531,283
438,532,283
439,533,283
440,534,283
441,535,283
442,536,283
443,537,283
444,538,283
445,539,283
446,540,283
447,541,283
448,542,283
449,544,283
450,545,283
451,546,283
452,547,283
453,548,283
454,549,283
455,550,283
456,551,283
457,552,283
458,553,283
459,556,283
460,558,283
461,558,586
462,558,595
463,558,598
464,558,599
465,558,700
466,558,594
467,559,283
468,560,283
469,561,283
470,562,283
471,563,283
472,566,283
473,567,131
474,570,131
475,571,283
476,572,283
477,573,283
478,574,283
479,575,283
480,576,283
481,577,283
482,579,283
483,579,358
484,580,283
485,580,358
486,581,283
487,581,284
488,581,280
489,584,283
490,584,284
491,584,280
492,585,283
493,585,284
494,585,280
495,589,283
496,590,283
497,591,283
498,592,283
499,592,733
500,592,734
501,593,283
502,593,733
503,593,734
504,593,736
505,594,283
506,594,733
507,594,734
508,594,735
509,594,736
510,594,737
511,595,283
512,596,283
513,597,283
514,598,283
515,599,283
516,600,283
517,601,283
518,602,283
519,603,283
520,604,283
521,605,283
522,606,283
523,607,283
524,608,283
525,612,283
526,615,283
527,616,283
528,617,283
529,619,283
530,620,283
531,621,283
532,622,283
533,623,283
534,624,283
535,625,283
536,626,283
537,627,283
538,628,283
539,628,183
540,629,183
541,630,283
542,632,283
543,633,283
544,634,283
545,636,283
546,638,283
547,639,283
548,640,283
549,641,283
550,642,283
551,643,283
552,644,283
553,645,283
554,646,283
555,647,283
556,648,283
557,649,283
558,650,283
559,651,283
560,652,283
561,653,283
562,654,283
563,655,283
564,656,283
565,657,283
566,658,283
567,659,283
568,660,283
569,661,283
570,662,283
571,662,313
572,662,628
573,663,637
574,664,601
575,664,622
576,665,283
577,665,601
578,665,622
579,666,283
580,667,283
581,668,283
582,669,283
583,670,283
584,671,283
585,672,283
586,673,283
587,674,283
588,675,283
589,676,283
590,677,283
591,678,283
592,679,283
593,680,283
594,681,283
595,682,283
596,683,283
597,684,283
598,685,283
599,686,283
600,686,284
601,686,447
602,686,462
603,686,280
604,687,283
605,692,283
606,692,451
607,696,283
608,697,283
609,698,283
610,699,283
611,701,283
612,702,283
613,703,283
614,705,283
615,706,283
616,707,283
617,708,283
618,709,283
619,711,283
620,718,283
621,719,283
622,720,283
623,721,283
624,722,283
625,724,283
626,729,283
627,730,283
628,731,283
629,732,283
630,736,283
631,737,283
632,738,283
633,739,283
634,740,283
635,741,283
636,742,283
637,743,283
638,744,283
639,745,283
640,746,283
641,747,283
642,748,283
643,749,283
644,750,283
645,751,283
646,752,283
647,753,283
648,755,283
649,757,283
650,760,283
651,761,283
652,764,283
653,769,283
654,773,283
655,774,283
656,777,283
657,782,283
658,783,283
659,784,283
660,786,283
661,787,283
662,794,283
663,795,283
664,796,283
665,797,283
666,798,283
667,799,283
668,800,283
669,801,283
670,802,283
671,803,283
672,804,283
673,805,283
674,806,283
675,808,283
676,809,283
677,811,283
678,821,283
679,822,283
680,823,224
681,823,225
682,823,237
683,823,238
684,823,283
685,824,224
686,824,225
687,824,283
688,825,283
689,826,283
690,827,283
691,828,283
692,829,283
693,830,232
694,830,283
695,831,283
696,832,283
697,833,283
698,834,283
699,835,227
700,835,228
701,835,229
702,835,231
703,835,240
704,835,241
705,835,242
706,835,244
707,835,283
708,836,227
709,836,228
710,836,229
711,836,231
712,836,283
713,837,283
714,838,283
715,839,283
716,840,283
717,841,222
718,841,230
719,841,243
720,841,283
721,841,235
722,842,283
723,843,283
724,844,283
725,845,283
726,846,283
727,847,283
728,848,283
729,849,222
730,849,223
731,849,224
732,849,225
733,849,226
734,849,227
735,849,230
736,849,236
737,849,237
738,849,238
739,849,239
740,849,240
741,849,243
742,849,283
743,849,235
744,850,222
745,850,223
746,850,224
747,850,225
748,850,226
749,850,227
750,850,230
751,850,283
752,851,283
753,852,220
754,852,233
755,852,234
756,852,283
757,852,221
758,853,220
759,853,283
760,853,221
761,854,283
762,855,283
763,856,283
764,857,283
765,858,283
766,859,283
767,860,283
768,862,283
769,863,222
770,863,223
771,863,224
772,863,225
773,863,226
774,863,227
775,863,230
776,863,236
777,863,237
778,863,238
779,863,239
780,863,240
781,863,243
782,863,283
783,863,235
784,864,222
785,864,223
786,864,224
787,864,225
788,864,226
789,864,227
790,864,230
791,864,283
792,865,283
793,866,283
794,867,224
795,867,225
796,867,237
797,867,238
798,867,283
799,868,224
800,868,225
801,868,283
802,869,283
803,870,283
804,871,283
805,872,232
806,872,283
807,873,283
808,874,283
809,875,283
810,876,283
811,877,283
812,878,283
813,879,283
814,880,283
815,881,222
816,881,230
817,881,243
818,881,283
819,881,235
820,882,222
821,882,230
822,882,283
823,883,283
824,884,283
825,885,283
826,886,283
827,887,220
828,887,233
829,887,234
830,887,283
831,887,221
832,888,220
833,888,283
834,888,221
835,889,283
836,890,283
837,892,283
838,893,283
839,894,283
840,895,283
841,896,283
842,897,283
843,898,283
844,899,283
845,900,283
846,901,283
847,902,283
848,903,283
849,904,283
850,905,283
851,906,283
852,907,283
853,908,283
854,909,283
855,912,283
856,913,283
857,914,283
858,915,283
859,916,283
860,917,283
861,918,283
862,919,283
863,920,283
864,921,283
865,922,283
866,923,283
867,924,283
868,925,283
869,926,283
870,927,283
871,928,283
872,929,283
873,930,283
874,931,283
875,932,283
876,933,283
877,934,283
878,935,283
879,936,283
880,937,283
881,938,283
882,939,283
883,940,283
884,942,283
885,943,283
886,948,283
887,949,283
888,962,283
889,964,283
890,965,283
891,966,283
892,967,283
893,968,283
894,969,283
895,970,283
896,971,283
897,972,283
898,973,283
899,974,283
900,975,283
901,977,283
902,978,283
903,979,283
904,980,283
905,981,283
906,982,283
907,983,283
908,984,283
909,985,283
910,986,283
911,987,283
912,988,283
913,989,283
914,990,283
915,991,283
916,994,283
917,995,283
918,997,283
919,998,283
920,999,283
